"origin","relative_path","bytes","sha256","kind","disposition","repository_path_or_note"
"integrated Paper II source","CLAIM_TO_REFERENCE_LEDGER.csv","1510","c149e0e33817fa71061fdc2869cbaee47de390eb5f19e57fd39ec9e46e0b2e2f","data","included as audit documentation","documentation/CLAIM_TO_REFERENCE_LEDGER.csv"
"integrated Paper II source","CODE/export_tables.py","2983","426511a8bc369d70e9af5ec8dd8e93aec2926f53583d4473906b77f8544cfbbf","script","included","CODE/export_tables.py"
"integrated Paper II source","CODE/make_manifest.py","818","8629650402fc0873f71991cf87df7dffda0119d0b7844ae0ffb5d82d8efd21ad","script","included","CODE/make_manifest.py"
"integrated Paper II source","CODE/package_release.py","1114","a33010145651b4e3f657ebea036829f98f5703e9c62942b7ad651b1469a6f8bf","script","included","CODE/package_release.py"
"integrated Paper II source","CODE/verify_manifest.py","1197","0f4f55cb401831c880c9ceaa0b63fd29b222f8838a8a6be03d8fba6ff04cb87c","script","included","CODE/verify_manifest.py"
"integrated Paper II source","CODE/verify_paper.py","10025","5fff83ee0025247c88fda8d4c752bc0af0ff346774e2f77f1b18c9ab2e68b088","script","included","CODE/verify_paper.py"
"integrated Paper II source","CONTENT_RECOVERY_LEDGER.csv","1172","7c8f0dcde116cc0f03edc68d02cef9403108f4b1f9ade0071c9a276d6b79cd34","data","included as audit documentation","documentation/CONTENT_RECOVERY_LEDGER.csv"
"integrated Paper II source","CONTRADICTION_AND_SUPERSESSION_LEDGER.md","2221","104d031519d127e77b41d66ed48aa7ecacdd6b1d230f12dc53c55892be51420e","documentation","included as audit documentation","documentation/CONTRADICTION_AND_SUPERSESSION_LEDGER.md"
"integrated Paper II source","COUNTEREXAMPLE_SOURCE_MAP.csv","1122","6728341d43a2ec20a80e0e2250d0481fbc293cb252a662b3cd370199cae8856f","data","included as audit documentation","documentation/COUNTEREXAMPLE_SOURCE_MAP.csv"
"integrated Paper II source","DATA/DENOMINATOR_TERMS.csv","889","65a2c79846ec0d272780ffc9b279fbaae7073a543b77a3b4eb1ea1e5c4b067e8","data","included","DATA/DENOMINATOR_TERMS.csv"
"integrated Paper II source","DATA/denominator_terms.tex","1428","276fcf159c1f8848ff50ad9a080004eac98d82099d0be425e12bc665b09a7e5b","source","included","DATA/denominator_terms.tex"
"integrated Paper II source","DATA/discrepancy_detection.json","200","47845f472c9f756019adc586811adfc1fbfa1c74de2701fc3172b79dd9e2ad7d","data","included","DATA/discrepancy_detection.json"
"integrated Paper II source","DATA/DUPLICATE_CONTENT_GROUPS.json","409946","e137a032d47eb635b7ea5348dd7e99cbcb7054c75f67f52071828858a2bcd5f1","data","included","DATA/DUPLICATE_CONTENT_GROUPS.json"
"integrated Paper II source","DATA/FULL_SOURCE_INVENTORY.csv","690181","402b691bd7f977ca3ab57cb8b169ccbcd3f87d40b5117e9ad8772e37e0a20821","data","included","DATA/FULL_SOURCE_INVENTORY.csv"
"integrated Paper II source","DATA/FULL_SOURCE_SCAN_HITS.csv","1937150","54e3ec3ef953954bf4d4e9108bdbdfd64d0a8a2a7f2c9b0e688c133b11765a58","data","included","DATA/FULL_SOURCE_SCAN_HITS.csv"
"integrated Paper II source","DATA/FULL_SOURCE_SCAN_SUMMARY.json","1364","baf8b7888386052c46f08f06ec8cc6cea88463d0b2fe2625927cd7a6e1163ceb","data","included","DATA/FULL_SOURCE_SCAN_SUMMARY.json"
"integrated Paper II source","DATA/GF1_16_CONE_ATLAS.json","17884","ce151d159d504feb9f0043c579807eb47bb0030cb5a67a220504d98b5dff45e1","data","included","DATA/GF1_16_CONE_ATLAS.json"
"integrated Paper II source","DATA/gf1_cones.tex","1040","005ba4adf6436a9bdf229d2a864f625897234623f3a77ca7aebd132072ce4ef3","source","included","DATA/gf1_cones.tex"
"integrated Paper II source","DATA/MV1_15_CELL_ATLAS.json","4200","6d61af8b30ff7f6235d9af87541eeea138196d7aefb250713793ef7480bab8b7","data","included","DATA/MV1_15_CELL_ATLAS.json"
"integrated Paper II source","DATA/mv1_cells.tex","832","d8210b557cdb5a57295d08e92de4683eb498747748fa23a92c0569949a225c46","source","included","DATA/mv1_cells.tex"
"integrated Paper II source","DATA/MV1_PRIMARY_EXACT.json","25965","6c374b193325fe50e0297d49840d11646587702cd4e50da2163b0c062e70fd8c","data","included","DATA/MV1_PRIMARY_EXACT.json"
"integrated Paper II source","DATA/PDF_SOURCE_SCAN.csv","4618","1b4c0224727ce5ebf1faa7de363575a81823defc525d2eb0dc04ddf1cc997349","data","included","DATA/PDF_SOURCE_SCAN.csv"
"integrated Paper II source","DATA/PDF_SOURCE_SCAN_HITS.csv","131090","357ed3d67e43f9f7a8491223545217dda254b7226c9cafd8de5ef9d170bdbdf4","data","included","DATA/PDF_SOURCE_SCAN_HITS.csv"
"integrated Paper II source","DETAILED_OUTLINE.md","3469","8fc91c23327f0dee5ba2ae0bd86371bdc81424c84539916a5d3d50e755ab3bdd","documentation","included as audit documentation","documentation/DETAILED_OUTLINE.md"
"integrated Paper II source","EDITORIAL_COMPRESSION_REPORT.md","906","4d2dc3529dd35d3ebd2e2ac40705d2338e1b3cfc561e4693fa0314b22212cb5a","documentation","included as audit documentation","documentation/EDITORIAL_COMPRESSION_REPORT.md"
"integrated Paper II source","ENVIRONMENT_SPECIFICATION.txt","628","13dd4f0fbf292fcd574db56f5cb192fa45f7a1d9572a8931e4e07f0d497c04fb","documentation","included as audit documentation","documentation/ENVIRONMENT_SPECIFICATION.txt"
"integrated Paper II source","EXPECTED/paper_verification.json","888","f88882e33bfb54ece376a80754356d61b2197605deb0512c62cc0ec9e3350cb5","data","included","EXPECTED/paper_verification.json"
"integrated Paper II source","EXTERNAL_INPUTS_LEDGER.md","991","1bdaafbf66453023e490a6a8c56c651def04ac369f4faef86be461338d9067df","documentation","included as audit documentation","documentation/EXTERNAL_INPUTS_LEDGER.md"
"integrated Paper II source","FAILURE_LEDGER.md","1850","3b3cb4bb35be9a4a95ddfa0f81dbd306bae4aa6ecd36bfc99261178cbe5a938e","documentation","included as audit documentation","documentation/FAILURE_LEDGER.md"
"integrated Paper II source","FIGURES/EXPORT/fig01_evidence_chain.pdf","77493","951016899515bdefdfd20b05af9bb5d405d74e40b98a5d0571810fd4b04893e3","PDF/figure artifact","included","FIGURES/EXPORT/fig01_evidence_chain.pdf"
"integrated Paper II source","FIGURES/EXPORT/fig02_model.pdf","75285","f11be2ca54ce2c0c7b4f6b4051e6d2a37349e4581905109e6825726e7cc09b3a","PDF/figure artifact","included","FIGURES/EXPORT/fig02_model.pdf"
"integrated Paper II source","FIGURES/EXPORT/fig03_dark_strata.pdf","69367","5e8fa1a1b7d860f73797b337eb5b0d2d89179461dc7ecf68568c22a9ebd0aede","PDF/figure artifact","included","FIGURES/EXPORT/fig03_dark_strata.pdf"
"integrated Paper II source","FIGURES/EXPORT/fig04_fixed_newton.pdf","56961","05fa40f79ef535300b73f29743506c59f8f4d8938484473f5ca235fa5f5453a5","PDF/figure artifact","included","FIGURES/EXPORT/fig04_fixed_newton.pdf"
"integrated Paper II source","FIGURES/EXPORT/fig05_pullback_collision.pdf","66937","bbce72c209dc7ecbef4b5df3fc21d65c77e4661d4737ead74939e3f318efab31","PDF/figure artifact","included","FIGURES/EXPORT/fig05_pullback_collision.pdf"
"integrated Paper II source","FIGURES/EXPORT/fig06_arc_lower_hull.pdf","63757","e27e75c07f69178ba30d29f2235068d538f3d44b4a43563922b20f80895ada5c","PDF/figure artifact","included","FIGURES/EXPORT/fig06_arc_lower_hull.pdf"
"integrated Paper II source","FIGURES/EXPORT/fig07_mv1_cells.pdf","49873","508edc786a7ece062e3fed6d3da68e4f643d29800afc13baafce2ca104028c42","PDF/figure artifact","included","FIGURES/EXPORT/fig07_mv1_cells.pdf"
"integrated Paper II source","FIGURES/EXPORT/fig08_information_hierarchy.pdf","52109","85afe36fcf9a5ed132d839471f779ce3dd0e82f98165cdbf36b31c159ae0f8e4","PDF/figure artifact","included","FIGURES/EXPORT/fig08_information_hierarchy.pdf"
"integrated Paper II source","FIGURES/SOURCE/fig01_evidence_chain.tikz","1015","c79e1ed6c1db54d467e3be68005dfe5b19f8b9c0499ec3f1b44c810e76e7bb80","source","included","FIGURES/SOURCE/fig01_evidence_chain.tikz"
"integrated Paper II source","FIGURES/SOURCE/fig02_model.tikz","773","1f8b638257c49f146a02d3021bfb0cb595a7fadb70e95f6069c1d5b9b5b7ad09","source","included","FIGURES/SOURCE/fig02_model.tikz"
"integrated Paper II source","FIGURES/SOURCE/fig03_dark_strata.tikz","728","248472d6d8111fa2bb2f7fa780cc3835f731fedeb8c6138e95141e1bd7d5d949","source","included","FIGURES/SOURCE/fig03_dark_strata.tikz"
"integrated Paper II source","FIGURES/SOURCE/fig04_fixed_newton.tikz","840","f006797bf291353dd14e3364acf0b8edafd7420fb1fe9980e5929d000bb70f95","source","included","FIGURES/SOURCE/fig04_fixed_newton.tikz"
"integrated Paper II source","FIGURES/SOURCE/fig05_pullback_collision.tikz","736","a824d2a96c0709d0efec122ce5c1a5e47594ed55291a41929530449cb3e453f4","source","included","FIGURES/SOURCE/fig05_pullback_collision.tikz"
"integrated Paper II source","FIGURES/SOURCE/fig06_arc_lower_hull.tikz","646","a3cb040bbcd6ed0f81f08ad62e24a3daa34724545f5f1dd49a117e8a1ba6578a","source","included","FIGURES/SOURCE/fig06_arc_lower_hull.tikz"
"integrated Paper II source","FIGURES/SOURCE/fig07_mv1_cells.tikz","813","5740175127ac62fbe09ca2f6434d8ce032b5d8f4288f453975f67073cdd1c204","source","included","FIGURES/SOURCE/fig07_mv1_cells.tikz"
"integrated Paper II source","FIGURES/SOURCE/fig08_information_hierarchy.tikz","849","e35a7dac3139833ff13a9fbc36d48c1003a1e7251b77fca813c58966e8d6866e","source","included","FIGURES/SOURCE/fig08_information_hierarchy.tikz"
"integrated Paper II source","FIGURES/SOURCE/standalone_wrapper.tex","250","674441467f1a55529113b5b8037ce7d2c04a716213e1553716cc3db7169a04d5","source","included","FIGURES/SOURCE/standalone_wrapper.tex"
"integrated Paper II source","FORMULA_SOURCE_MAP.csv","910","8a5d7dc5dea70b88c0f79bde11e6607b38e2777664669ae485d368bb14510147","data","included as audit documentation","documentation/FORMULA_SOURCE_MAP.csv"
"integrated Paper II source","FRESH_EXTRACTION_REPORT.md","1561","61b9cf34c4764614b3ff1fc608ce086eea8534ef79b0001bd817b525340e363c","documentation","included as audit documentation","documentation/FRESH_EXTRACTION_REPORT.md"
"integrated Paper II source","HARVARD_STYLE_AUDIT.md","1261","ee2b441457c97ebe8949f3d79e9104254d9a9a3ac95952ecbcaed41de39541da","documentation","included as audit documentation","documentation/HARVARD_STYLE_AUDIT.md"
"integrated Paper II source","INPUTS_AVAILABLE/MASTER_PROMPT.md","52062","3475dad2fcdc070feefbf6e2432775faf299c04053946c50d3e406b463dbe2a5","documentation","excluded duplicate upstream input","not committed"
"integrated Paper II source","INPUTS_AVAILABLE/Paper_I.pdf","1092974","93f47bf862e44d7232c20aa1ad5c54b20d589c307218c80638ce68ed47c6b4f5","PDF/figure artifact","excluded duplicate upstream input","not committed"
"integrated Paper II source","INPUTS_AVAILABLE/Paper_II_R1_2.pdf","374126","4135498db2f973d8c3dbd4f77b8ebc94c2f3ea8bfc11e9dd710ef694b65d3222","PDF/figure artifact","excluded duplicate upstream input","not committed"
"integrated Paper II source","INPUTS_AVAILABLE/Paper_II_R1_2.tex","36123","c5e1d29848307e0b3852d962a6af843499524377ff72c97b647af03052e35009","source","excluded duplicate upstream input","not committed"
"integrated Paper II source","INPUTS_AVAILABLE/R1_2_STRENGTHENING_AUDIT.md","35397","c3ebd68168d466a06746f8a3847be7d997350638cca2f13a4c1f4b8325d650f8","documentation","excluded duplicate upstream input","not committed"
"integrated Paper II source","INPUTS_AVAILABLE/README.md","519","aeb2a4ebdf34ac5fc87051c84b7c47029cda04733823f931722429fbab408cdf","documentation","excluded duplicate upstream input","not committed"
"integrated Paper II source","MANIFEST.sha256","10844","548a8cf69d6dfa7d084b7ba5fc9b6672c69bf4bfe537dc7a745f7308c196b52e","manifest/config","replaced after repository restructuring","MANIFEST.sha256"
"integrated Paper II source","NOTATION_AND_TERMINOLOGY_REPORT.md","1143","f0a7002fc2ad068bba2b9ea6f151c43cb1fbdfaaefa151cdb3d2e7d21cdf4475","documentation","included as audit documentation","documentation/NOTATION_AND_TERMINOLOGY_REPORT.md"
"integrated Paper II source","NOTATION_LOCK.md","1529","c0ff833d791e6a9e7d69e2038526650f1ba19a2778be5261deff042ecd092d24","documentation","included as audit documentation","documentation/NOTATION_LOCK.md"
"integrated Paper II source","NOVELTY_AND_SCOPE_LOCK.md","1815","a6f70f361d9e3d23aa6ed17c3e9cd756b8291f1865b64fb0e58c9042934557ba","documentation","included as audit documentation","documentation/NOVELTY_AND_SCOPE_LOCK.md"
"integrated Paper II source","NOVELTY_PRIORITY_LEDGER.md","1266","cc292fc01a6879262c0e71e2d2e2e43d28f27168e8b03672c6b82af8ad21c931","documentation","included as audit documentation","documentation/NOVELTY_PRIORITY_LEDGER.md"
"integrated Paper II source","PAPER 2.zip","653526","f50753598c75efe3e4770f35bc91ab5417747b17aa77d1a0de8b2dde02e17064","other","excluded duplicate archive; entries separately audited","not committed"
"integrated Paper II source","PAPER/abstract.tex","1407","d2a2b74a4de9847666e7fb60851517a6315b850dfc861fde7bf844671a8f21ee","source","included","paper/source/abstract.tex"
"integrated Paper II source","PAPER/appendices/A_denominator.tex","949","893fb064703824c40af82d9c4ad8dff22d732965f975b0a5b322ab5cb83a612a","source","included","paper/source/appendices/A_denominator.tex"
"integrated Paper II source","PAPER/appendices/B_endpoint_pb1.tex","1846","8040680f9e70997769f5b34de5c311f81e1e51224f230a95367a54f97b07b573","source","included","paper/source/appendices/B_endpoint_pb1.tex"
"integrated Paper II source","PAPER/appendices/C_arc1_tables.tex","1415","d07476741ef7815a319486a00857b82e46e74652c858a4f56be48d5deee26141","source","included","paper/source/appendices/C_arc1_tables.tex"
"integrated Paper II source","PAPER/appendices/D_mv1_gf1_atlases.tex","996","3f61ff3fa7b216482c4115c2d02875964b6d3de4cd29e4fa80cb266c1030483c","source","included","paper/source/appendices/D_mv1_gf1_atlases.tex"
"integrated Paper II source","PAPER/appendices/E_rees_marked.tex","1546","894043b5d0c575bc9f163571ba34ff77e55b1c2f83e75105ba26d08358110120","source","included","paper/source/appendices/E_rees_marked.tex"
"integrated Paper II source","PAPER/appendices/F_reproducibility.tex","3528","6ddce6738386fbb902d9d440156538e3d8674f660ec6e4d988fa6930f2b96ad2","source","included","paper/source/appendices/F_reproducibility.tex"
"integrated Paper II source","PAPER/main.aux","26770","5f77dcc6584bccaca1487a9f60798e65cc6b833dc4da9cc33bfea771fe5ca327","generated build artifact","excluded generated TeX artifact","not committed"
"integrated Paper II source","PAPER/main.bbl","43890","d085aa6116ca825b831edb24e0b556e379c3310ab0bf08fbfd63b97891ab52b1","generated build artifact","excluded generated TeX artifact","not committed"
"integrated Paper II source","PAPER/main.bcf","110761","b9088171c99a19eda3d32dff744fca1eb7bb4e4ba107eb7c261ee116daba572f","generated build artifact","excluded generated TeX artifact","not committed"
"integrated Paper II source","PAPER/main.bcf-SAVE-ERROR","107587","3baed71934fc5ade60774b7cab33d185ab25ef8d162e4f0b3b27442be7131914","generated build artifact","excluded generated TeX artifact","not committed"
"integrated Paper II source","PAPER/main.blg","1061","c7578438d5368ee7f9161931b907dd032e1b4d520a4c80c52043b80d4dfa7a0f","generated build artifact","excluded generated TeX artifact","not committed"
"integrated Paper II source","PAPER/main.fdb_latexmk","35513","9e827e380c17dd28d5762e0eff354b7b8ac54e03ec59244de7bfc4a1e7cc3ef6","generated build artifact","excluded generated TeX artifact","not committed"
"integrated Paper II source","PAPER/main.fls","39070","8e7c433f095b04311552baf0b76f48a5ade617549f3ce0db91e3d49161f53795","generated build artifact","excluded generated TeX artifact","not committed"
"integrated Paper II source","PAPER/main.log","58312","0332c8f0fa1f65318ad0f1a4324b0965bb0fad3d46cb55c7299564bc635713bf","generated build artifact","excluded generated TeX artifact","not committed"
"integrated Paper II source","PAPER/main.out","9253","3e7e3fe2ec92fc091ca566d5b70e2b48887a7908ccbbd9c97dced87e3041e5e0","generated build artifact","excluded generated TeX artifact","not committed"
"integrated Paper II source","PAPER/main.pdf","561102","ceb7e62cb3710cd859289e23e6a968e1c0144029c1be77eb67b00986c9f68889","PDF/figure artifact","superseded by rebuilt R2.1 PDF","paper/M3A_KERNEL_CHECKED_OPENING_THEORY_R2.pdf"
"integrated Paper II source","PAPER/main.run.xml","2342","1879c4e4e99d5941769eb7620fdbbcdb94bc6ee98b3c4015b2bcac79223d6f4b","generated build artifact","excluded generated TeX artifact","not committed"
"integrated Paper II source","PAPER/main.tex","3538","7ddf105334c59af6a60c6f25e2df58ef87bf7d809c92a30e6bf2ca852e987453","source","included","paper/source/main.tex"
"integrated Paper II source","PAPER/main.toc","4176","929172dd2223805bb06d2ae05a7d16069b489a8e6340453996147d7aa1e99426","generated build artifact","excluded generated TeX artifact","not committed"
"integrated Paper II source","PAPER/references.bib","7542","e092a10b620f36d28fd8fdb9313fd9703eda028c8aa9b12559ff0ac75b151df5","source","included","paper/source/references.bib"
"integrated Paper II source","PAPER/sections/01_introduction.tex","5922","50b3c043ce0b2c0a7d28c984ccbef0fa74a759c2de95c2c1f4687cd237a88a70","source","included","paper/source/sections/01_introduction.tex"
"integrated Paper II source","PAPER/sections/02_formal_verification.tex","4298","cf4d1c7b2a9cf0d4a0a026a4586d0202d5b6f6860a4db1c5d82d0a104733f8c2","source","included","paper/source/sections/02_formal_verification.tex"
"integrated Paper II source","PAPER/sections/02_model_and_channel.tex","3417","d1d42ce672a5a2b7973d0dd53c669eebaa76b490679d5df7d5713a736fda02de","source","included","paper/source/sections/02_model_and_channel.tex"
"integrated Paper II source","PAPER/sections/03_exact_numerator_and_ideal.tex","3278","ac21dd57ab434be4a12450213d5b511e2cee5353d44addeeda326928a02d5239","source","included","paper/source/sections/03_exact_numerator_and_ideal.tex"
"integrated Paper II source","PAPER/sections/04_syzygy_dark_planes_certificates.tex","4101","96a46f9e78913b10ed003a7e496a1180984fc57a32102811a220a63a5f8b7c38","source","included","paper/source/sections/04_syzygy_dark_planes_certificates.tex"
"integrated Paper II source","PAPER/sections/05_endpoint_support.tex","3605","17c04e13f7e70b8ec86e6cccc47c941d7343b7f17fe538ec95d14b3980422c47","source","included","paper/source/sections/05_endpoint_support.tex"
